sit	octal	total	clade	geography
420	637774777760730	12	T2	BEL(4) EAFR(1) UGA(1) USA (6)
128	637775777760730	9	T2	BEL(2) DEU(1) EAFR(4) RWA(1) UGA(1)
1489	637777477413750	2	EAI5	MYS(2)
1886	637777477413771	3	EAI5	PHL(1) SAU(2)
578	637777607760771	16	LAM9	HTI(3) USA(10) VEN(3)
1164	637777777700371	4	U	USA (4)
849	637777777720771	3	H3	CMR(1) DEU(1) SEN(1)
285	637777777760771	3	T1	AUS(1) FXX(1) THA(1)
1862	640000037777600	4	BOV	IRL(4)
829	640003777777600	8	BOV	ARG(2) GBR(1) GLP(1) MEX(4)
1158	640013377777600	5	BOVIS3	ARG(2) USA (3)
1304	640013737777600	2	BOVIS3	GBR(2)
1846	640013776777600	2	BOVIS3	ARG(2)
666	640013777177600	7	BOVIS3	GBR(7)
1818	640013777763600	2	BOVIS3	BRA(1) MEX(1)
479	640013777777600	97	BOVIS3	ARG(32) AUS(1) BRA(4) FXX(12) GBR(7) IRL(29) MEX(3) USA (8) ZAF(1)
1298	642217777777600	2	BOV	MEX(2)
667	644073777777600	20	BOV	ARG(1) ESP(1) GBR(10) IRL(8)
998	644773777767600	2	BOV	FXX(2)
999	646770077767600	22	BOV	FXX(22)
1000	646773776167600	19	BOVIS1	FXX(19)
1001	646773777767200	4	BOVIS1	FXX(4)
1002	646773777767600	9	BOVIS1	FXX(9)
1213	647737607760771	2	LAM2	USA(2)
668	656473737777600	11	BOVIS1	? (1) ARG(3) GBR(5) URY(1) ZAF(1)
669	656573377777200	5	BOVIS1	ARG(5)
670	656573377777600	9	BOVIS1	GBR(4) MEX(1) USA(2) ZAF(2)
594	656573777777600	43	BOVIS1	ARG(8) BRA(7) GBR(8) IRL(10) PRY(1) SWE(1) USA(3) ZAF(5)
1003	656773777777600	6	BOVIS1	FXX(4) MWI(2)
377	657737607760771	6	LAM2	USA(2) USA (2) VEN(2)
1512	657777477413701	3	EAI2_MANILLA	MYS(3)
633	657777607760731	4	LAM4	GLP(1) HTI(3)
729	657777607760771	4	LAM1	GLP(1) HTI(3)
1682	662773677777600	2	BOVIS1	BRA(1) NLD(1)
1004	662773777777600	6	BOVIS1	FXX(4) ITA(2)
1713	663777607760771	3	LAM1	VEN(3)
671	664043777777600	4	BOV	GBR(1) IRL(3)
1308	664063777700600	2	BOV	MEX(2)
1666	664063777776600	3	BOV	BRA(3)
672	664063777777600	21	BOV	ARG(4) BRA(3) GBR(6) IRL(3) MEX(4) NZL(1)
673	664070377777600	4	BOV	AUS(1) GBR(1) IRL(2)
674	664071777777600	3	BOV	ARG(3)
1856	664072777777600	6	BOVIS2	ARG(6)
1297	664073077777600	2	BOVIS2	GBR(2)
675	664073377777600	6	BOVIS2	ARG(1) GBR(5)
1722	664073677777200	2	BOVIS2	GBR(1) USA (1)
1723	664073770037600	2	BOVIS2	GBR(2)
676	664073774037600	177	BOVIS2	GBR(107) IRL(70)
1850	664073776177600	4	BOVIS2	ARG(4)
1863	664073777577600	4	BOVIS2	IRL(3) MEX(1)
1625	664073777700600	2	BOVIS2	USA(2)
1861	664073777707600	5	BOVIS2	GBR(1) IRL(4)
677	664073777740600	31	BOVIS2	GBR(30) IRL(1)
1860	664073777741600	3	BOVIS2	GBR(1) IRL(2)
678	664073777757600	16	BOVIS2	ARG(2) GBR(14)
679	664073777763600	428	BOVIS2	ARG(1) GBR(112) IRL(315)
680	664073777767600	5	BOVIS2	ARG(4) IRL(1)
1855	664073777773600	4	BOVIS2	ARG(3) BRA(1)
681	664073777776600	11	BOVIS2	ARG(1) BRA(3) FXX(1) GBR(6)
682	664073777777200	66	BOVIS2	ARG(3) AUS(1) GBR(9) IRL(53)
683	664073777777600	1811	BOVIS2	ARG(250) AUS(1) BEL(2) BRA(25) FXX(10) GBR(481) IRL(993) MEX(7) MTQ(1) NLD(1) NZL(20) PRY(2) URY(3) USA (5) ZAF(10)
684	666773677777600	25	BOVIS1	BEL(4) DEU(1) FXX(8) NLD(2) USA(6) ZAF(4)
1603	666773777677600	2	BOVIS1	DEU(1) NLD(1)
1463	670000777760731	3	T1_RUS2	GEO(3)
899	670000777760771	2	T1_RUS2	USA (2)
1005	672773777775600	2	BOVIS1	ESP(1) FXX(1)
756	673777477413771	2	EAI2_MANILLA	USA (1) VNM(1)
821	674000000000171	6	U	BRA(1) USA(4) VEN(1)
1187	674000003403771	4	U	THA(4)
89	674000003413771	67	EAI2_NTB	AUS(1) FXX(1) GLP(1) GUF(1) IDN(2) MYS(4) NLD(5) SWE(3) THA(36) USA(11) VNM(2)
308	674001777677600	2	BOV	CAF(2)
1602	674023777777600	2	BOV	DEU(2)
685	674073777777600	10	BOV	ARG(2) DEU(3) FXX(1) GBR(3) IRL(1)
686	674153777777600	2	BOV	DEU(2)
1595	674363677777600	2	BOV	DEU(2)
1439	674373677777600	2	BOV	BEL(1) ESP(1)
1006	674373777774000	2	BOV	FXX(2)
1007	674373777777600	2	BOV	FXX(2)
687	674573777767600	2	BOV	ARG(2)
1849	674573777777600	6	BOV	ARG(5) BRA(1)
1853	674773674377200	2	BOV	ARG(2)
1292	674777377420771	2	H4	AUT(1) RUS(1)
1479	674777470001771	7	U	DEU(1) MYS(2) PHL(2) USA(2)
480	674777477411771	3	U	USA (3)
1117	674777777420771	3	H4	AUT(1) RUS(2)
545	675737607760771	4	LAM2	FXX(2) USA (2)
1478	675777477413771	2	EAI2_MANILLA	PHL(2)
362	675777757760771	18	T5	AUT(18)
897	676003477413771	4	EAI2_MANILLA	AUS(1) MYS(1) USA (2)
580	676077607760771	2	LAM1	NAM(2)
1170	676177477413771	3	EAI2_MANILLA	PHL(2) USA (1)
1293	676177607760771	3	LAM3	USA (1) ZAF(2)
1336	676377717760471	2	S	ZAF(2)
1253	676377737760771	7	S	ARG(1) DEU(1) FXX(1) RUS(2) TUR(2)
923	676377777720771	3	H3-S	FIN(3)
789	676377777760771	7	S	ARG(1) AUT(2) ITAS(1) SWE(1) USA(1) ZAF(1)
688	676473777777600	25	BOVIS1	GBR(3) IRL(22)
957	676501777177600	2	BOV	USA (2)
1008	676563777777600	6	BOV	ARG(3) FXX(1) GBR(1) MEX(1)
689	676573777017600	12	BOVIS1	GBR(2) IRL(10)
778	676573777077600	5	BOVIS1	ARG(3) MEX(2)
1857	676573777177600	2	BOVIS1	ARG(2)
690	676573777637600	5	BOVIS1	SWE(1) ZAF(4)
757	676573777677600	2	BOVIS1	GBR(1) NLD(1)
691	676573777777600	175	BOVIS1	ARG(60) BRA(23) ESP(1) FXX(9) GBR(9) IRL(20) MEX(4) NZL(22) PRY(3) SWE(1) USA (3) ZAF(20)
421	676600000000371	12	U	USA (12)
692	676673677777600	4	BOVIS1	NLD(4)
1118	676673757777600	3	BOVIS1	AUT(2) USA (1)
1185	676673777777600	2	BOVIS1	FXX(1) SWE(1)
1009	676713677767600	2	BOVIS1	FXX(2)
1010	676733677777600	4	BOVIS1	ESP(1) FXX(3)
1932	676733777777600	2	BOVIS1	FXX(1) ITA(1)
1848	676740677777600	3	BOV	ARG(2) MEX(1)
1011	676743377777600	3	BOV	FXX(2) NLD(1)
693	676743677777600	2	BOV	NLD(2)
694	676743777777600	4	BOV	DEU(1) DNK(1) NLD(2)
1012	676760000007600	2	BOV	FXX(2)
1013	676760006067600	6	BOV	FXX(6)
1784	676760777777600	2	BOV	BEL(1) DNK(1)
1014	676763637767600	4	BOV	FXX(4)
1668	676763677776200	6	BOV	BRA(6)
1669	676763677776600	4	BOV	BRA(4)
819	676763677777400	3	BOV	DEU(3)
695	676763677777600	10	BOV	BEL(1) BRA(1) DEU(2) MEX(2) NLD(3) USA(1)
820	676763777777600	47	BOV	BRA(5) DEU(6) DNK(29) FXX(3) MEX(1) NOR(1) USA (2)
1015	676770077777600	5	BOV	FXX(5)
1016	676772777767600	13	BOVIS1	FXX(13)
1017	676773017737600	3	BOVIS1	FXX(3)
1820	676773277777200	4	BOVIS1	BRA(1) MEX(3)
1018	676773377757600	2	BOVIS1	ESP(2)
1019	676773377777600	6	BOVIS1	DEU(2) DNK(1) FXX(3)
1020	676773417777600	7	BOVIS1	FXX(7)
422	676773667777600	7	BOVIS1	USA (7)
1021	676773674037600	6	BOVIS1	BRA(2) FXX(2) MEX(2)
696	676773674177600	21	BOVIS1	AUT(1) BEL(1) DEU(1) FXX(16) NLD(2)
697	676773676177600	8	BOVIS1	DEU(2) NLD(3) SAU(3)
1847	676773677377600	2	BOVIS1	ARG(2)
1816	676773677603600	3	BOVIS1	BRA(2) MEX(1)
1022	676773677743600	13	BOVIS1	DEU(6) FXX(7)
1023	676773677757600	4	BOVIS1	FXX(3) ZAF(1)
1024	676773677761600	2	BOVIS1	FXX(2)
1025	676773677763600	3	BOVIS1	FXX(3)
1026	676773677774600	3	BOVIS1	FXX(3)
1027	676773677775600	2	BOVIS1	FXX(1) SAU(1)
1028	676773677777000	2	BOV	FXX(1) NLD(1)
698	676773677777200	55	BOVIS1	ARG(13) BRA(23) CRI(1) ESP(5) FXX(5) MEX(4) NLD(3) USA (1)
1601	676773677777400	3	BOV	DEU(2)
481	676773677777600	414	BOVIS1	?(2) ARG(40) BEL(17) BRA(16) DEU(32) ESP(14) FXX(149) GBR(2) ITA(1) MEX(8) NLD(50) SAU(1) SWE(3) URY(1) USA(4) ZAF(74)
1029	676773737766600	3	BOVIS1	FXX(3)
1030	676773737777600	27	BOVIS1	DEU(1) FXX(26)
1181	676773757777600	4	BOVIS1	BEL(2) SWE(2)
1031	676773764146600	2	BOVIS1	FXX(2)
1854	676773770000600	2	BOVIS1	ARG(1) FXX(1)
1852	676773770003600	2	BOVIS1	ARG(2)
1032	676773776003600	2	BOVIS1	FXX(2)
1033	676773777075600	6	BOVIS1	DEU(1) FXX(5)
1637	676773777577600	2	BOVIS1	DEU(1) NLD(1)
1034	676773777600600	3	BOVIS1	FXX(3)
1035	676773777627600	2	BOVIS1	FXX(2)
1036	676773777637600	4	BOVIS1	FXX(4)
1037	676773777677600	3	BOVIS1	FXX(2) USA (1)
1038	676773777735600	8	BOVIS1	FXX(8)
1039	676773777736600	3	BOVIS1	FXX(3)
1040	676773777737600	17	BOVIS1	AUT(1) DEU(1) FXX(15)
1041	676773777743600	9	BOVIS1	FXX(9)
1730	676773777747600	3	BOVIS1	DEU(1) DNK(2)
1042	676773777753600	7	BOVIS1	FXX(7)
1043	676773777766600	5	BOVIS1	FXX(5)
1044	676773777767600	51	BOVIS1	FXX(51)
1045	676773777770600	7	BOVIS1	BEL(2) FXX(5)
1046	676773777771600	5	BOVIS1	FXX(5)
1047	676773777773600	13	BOVIS1	ESP(1) FXX(12)
1048	676773777775600	10	BOVIS1	FXX(10)
797	676773777777200	5	BOVIS1	FXX(3) USA (2)
482	676773777777600	646	BOVIS1_BCG	?(7) ARG(15) AUT(12) BEL(5) BRA(10) CHN(1) CZE(1) DEU(36) DNK(30) ESP(12) FXX(342) GBR(7) GLP(3) GUF(1) IRN(5) ITA(26) JPN(1) LKA(1) MEX(3) NAM(1) NLD(43) NOR(1) NZL(2) PRT(2) RUS(4) SWE(29) USA(39) VEN(1) ZAF(4) ZMB(2)
1440	676777677777600	8	BOV	BEL(8)
595	676777777777600	5	BOV	DNK(1) IRN(2) NLD(1) USA(1)
1499	677003477413771	3	EAI2_MANILLA	MYS(2) USA(1)
1811	677300004760731	2	T2	AUT(2)
1712	677317607760771	2	LAM1	USA(1) VEN(1)
1719	677337607760671	2	LAM2	VEN(2)
1711	677337607760771	2	LAM2	VEN(2)
1511	677577477413771	2	EAI2_MANILLA	PHL(2)
1201	677636207760771	2	LAM1	CMR(1) SDN(1)
1899	677640007760771	2	T1	VNM(2)
279	677677477413771	5	EAI2_MANILLA	AUS(2) MYS(3)
1691	677727607760771	17	LAM2	MEX(1) PRT(2) VEN(14)
1215	677735607760771	5	LAM2	MEX(2) USA(2) VEN(1)
826	677737207760771	3	LAM2	BRA(2) VEN(1)
1169	677737477413771	5	EAI2_MANILLA	PHL(4) USA (1)
1703	677737607560771	2	LAM2	VEN(2)
193	677737607660771	17	LAM2	GUF(1) HTI(8) USA (8)
1216	677737607700371	2	U	USA(2)
905	677737607700771	15	U	ARG(1) USA (5) VEN(9)
1661	677737607760671	4	LAM2	BRA(2) VEN(2)
908	677737607760700	7	LAM2	USA (7)
179	677737607760711	8	LAM2	BRA(6) GUF(1) PRT(1)
194	677737607760731	12	LAM2-LAM4	BRA(1) MEX(2) USA (4) VEN(5)
604	677737607760751	4	LAM2	ARG(1) BEL(1) GNB(1) VEN(1)
1695	677737607760770	2	LAM2	BRA(1) VEN(1)
17	677737607760771	322	LAM2	ARG(3) BRA(33) CMR(2) CUB(1) CZE(3) ESP(17) FXX(1) GLP(11) GUF(7) HTI(22)MEX(3) MTQ(2) MYS(1) NAM(1) NLD(2) PHL(3) PRT(6) USA(76) VEN(128)
1911	677737707760770	2	T3	BRA(2)
1910	677737707760771	2	T3	BRA(2)
1339	677737777760731	2	T2-T3	GUF(1) USA (1)
1163	677737777760771	9	T3	BRA(5) USA (4)
1806	677747757760771	2	T5	AUT(2)
1769	677761607760771	2	LAM1	CUB(1) VEN(1)
1490	677767477413771	2	EAI2_MANILLA	MYS(2)
1935	677767607760671	2	LAM1	GUF(1) PRT(1)
389	677767607760771	14	LAM1	BRA(4) FIN(1) PRT(7) VEN(2)
1761	677767777760771	3	T1	BEL(1) BRA(1) GUF(1)
423	677774207760771	7	LAM1	BEL(3) USA (4)
1718	677776607760771	3	X1-LAM9	VEN(3)
18	677776777760601	14	X2	BRA(5) GBR(5) NLD(2) USA (2)
1707	677777400760771	2	T1	VEN(2)
930	677777404760771	6	LAM7_TUR	BEL(2) FIN(2) NLD(1) TUR(1)
1477	677777463413701	2	EAI2_MANILLA	PHL(2)
286	677777470000000	8	U	AUS(1) GLP(1) IDN(1) ITA(1) PHL(2) USA(2)
1509	677777472000000	3	U	DEU(1) PHL(2)
1510	677777476003771	2	U	PHL(2)
895	677777477013771	4	MANU1	PHL(2) USA (2)
1500	677777477400771	2	U	MYS(2)
1189	677777477403771	4	U	MYS(2) THA(1) USA (1)
1171	677777477412771	2	EAI2_MANILLA	PHL(1) THA(1)
1217	677777477413151	2	EAI2_MANILLA	USA(2)
1501	677777477413671	4	EAI2_MANILLA	MYS(3) PHL(1)
758	677777477413700	2	EAI2_MANILLA	PHL(1) USA (1)
483	677777477413701	11	EAI2_MANILLA	FXX(1) GUF(1) MYS(1) PHL(2) USA (6)
424	677777477413711	9	EAI2_MANILLA	USA(8) USA (1)
894	677777477413731	9	EAI2_MANILLA	MYS(1) PHL(4) USA (4)
287	677777477413751	10	EAI2_MANILLA	AUS(1) FXX(1) IDN(1) MYS(3) PHL(2) USA (2)
1868	677777477413761	2	EAI2_MANILLA	PHL(1) USA(1)
1781	677777477413770	2	EAI2_MANILLA	BEL(1) USA(1)
19	677777477413771	430	EAI2_MANILLA	AUS(11) AUT(13) BEL(1) FIN(1) FXX(2) GBR(1) GLP(2) IDN(1) ITA(20) JPN(1) MYS(43) NLD(3) PHL(132) SUR(1) SWE(4) THA(8) USA(183) VNM(3)
1815	677777606760771	2	LAM1-LAM8	BRA(2)
1145	677777607060771	2	LAM1	HTI(1) USA (1)
1791	677777607160771	2	LAM1	BEL(2)
1755	677777607560771	4	LAM1	PRT(2) USA (2)
195	677777607660771	4	LAM1	BRA(2) GLP(1) USA (1)
900	677777607740011	2	U	USA (2)
1752	677777607740771	3	U	PRT(2) USA (1)
1321	677777607760731	8	LAM1-LAM4	ARG(1) GUF(1) IND(1) PRT(3) USA(2)
20	677777607760771	426	LAM1	ARG(2) AUS(2) AUT(1) BEL(8) BRA(26) CMR(7) CUB(5) DEU(10) ECU(1) ESP(7) EST(4) FIN(1) FXX(18) GBR(1) GEO(1) GLP(3) GNB(3) GUF(10) HTI(26) IDN(1) LBY(1) MEX(7) MOZ(1) MWI(11) NAM(62) NLD(11) PER(1) PHL(2) PRT(49) RUS(3) SWE(3) USA(108) VEN(26) VNM(1) ZAF(1) ZWE(2)
1474	677777627760771	2	T1	MWI(2)
1362	677777700000371	2	U	ITA(2)
1888	677777707760771	3	T1	BRA(2) VEN(1)
1808	677777757760771	2	T5	AUT(1) BEL(1)
898	677777774020771	3	H1	NLD(1) USA (2)
90	677777776000371	6	U	AUT(2) ITA(1) NLD(1) POL(2)
526	677777777403671	2	U	GNB(2)
527	677777777403771	7	U	GNB(7)
912	677777777413371	5	EAI5	NOR(1) USA(4)
528	677777777413671	5	EAI5	GNB(3) USA(2)
529	677777777413731	4	EAI1_SOM	FXX(1) GNB(3)
342	677777777413771	8	EAI5	BEL(1) DEU(1) DNK(1) GBR(2) NLD(1) USA(2)
1683	677777777660771	3	T1	BRA(1) RUS(1) USA (1)
699	677777777720571	4	H3	NLD(2) SWE(1) USA(1)
180	677777777720771	23	H3	AUT(3) CAF(6) CIV(1) CZE(2) ESP(4) MYS(1) NLD(1) POL(1) RUS(1) SWE(1) USA (1) VNM(1)
1579	677777777740771	2	U	DEU(1) POL(1)
1572	677777777760730	2	T2	USA(2)
1332	677777777760731	6	T2	BRA(1) DEU(1) FIN(1) MDG(2) ZAF(1)
196	677777777760771	35	T1	AUT(4) BRA(3) DZA(3) FXX(1) GEO(1) HTI(1) ITA(3) MDG(4) NLD(3) RUS(1) SWE(2) TUR(3) USA(3) VEN(2) ZAF(1)
1729	700000004177771	2	U	DNK(1) ETH(1)
343	700000007175771	5	U	ETH(2) GBR(2) USA (1)
910	700000007177771	5	U	ETH(2) USA (3)
1400	700000007413371	7	EAI5	BGD(7)
536	700000377776671	3	AFRI	GNB(1) USA (2)
1555	700001403760371	2	U	POL(2)
1642	700017777760771	2	T1	FXX(2)
1756	700026777760771	2	X3	PRT(1) USA (1)
1150	700036776360771	3	X3	PER(1) USA (2)
1617	700036776760771	2	X3	ESP(1) USA(1)
546	700036777560771	8	X3	HND(3) USA(5)
901	700036777740031	3	U	USA (3)
484	700036777740171	2	U	USA (1) USA (1)
547	700036777760031	2	U	USA (2)
1119	700036777760471	3	X3	AUT(1) USA (2)
197	700036777760731	244	X3	GBR(1) IND(3) USA(7) USA (229) USA (4)
91	700036777760771	143	X3	ARG(3) BRA(1) CAN(8) DNK(5) ESP(2) GBR(6) GLP(1) GUF(5) HTI(29) NLD(2) PER(1) USA (79) VEN(1)
1569	700037000020700	2	H3	USA(2)
1526	700037177760771	2	T1	GUF(2)
950	700037607760771	7	LAM9	AUS(1) USA (6)
1871	700037750060771	7	T5	USA(7)
1753	700037777760771	2	T1	FXX(1) PRT(1)
198	700040777760771	28	T1	USA (28)
1315	700066777760671	2	X3	FXX(1) IND(1)
1751	700066777760771	3	X3	AUS(1) PRT(2)
548	700076700000071	6	U	RUS(1) USA(5)
549	700076757760771	3	X3	USA (3)
199	700076760000011	15	U	MEX(2) USA(13)
425	700076774160771	3	X3	USA (3)
1218	700076777740771	2	U	GBR(1) USA(1)
70	700076777760671	72	X3	GBR(2) GLP(2) GUF(6) HTI(8) MEX(3) PHL(2) USA(49)
200	700076777760700	27	X3	AUS(1) CIV(1) GBR(5) IND(1) MEX(1) MWI(2) NOR(1) USA(15)
1273	700076777760731	4	X3	NZL(2) USA(2)
1157	700076777760770	3	X3	USA(3)
92	700076777760771	123	X3	ARG(1) AUS(2) AUT(1) BRA(3) CUB(2) DNK(4) GBR(14) GNB(1) GUF(6) MEX(2) MWI(1) NLD(8) NOR(1) NZL(2) USA(60) ZAF(14) ZWE(1)
344	700077777760771	7	T1	GBR(2) GUF(1) PRT(4)
1320	700177740003771	2	CAS	IND(2)
201	700377000003771	2	CAS	USA (2)
601	700377400000771	2	CAS	AUT(1) IRN(1)
426	700377600003771	2	CAS	USA (2)
1151	700377740001771	3	CAS	GBR(1) USA (2)
1591	700377740003371	2	CAS2	DEU(1) IND(1)
288	700377740003771	40	CAS2	AUS(1) BGD(2) DEU(2) GBR(1) IND(8) IRN(1) NLD(5) USA(20)
587	700740007774671	8	AFRI	BGD(3) DNK(1) FXX(1) GBR(1) NLD(1) USA (1)
700	700741007764671	4	AFRI	NLD(4)
701	700741007774671	3	AFRI	NLD(2) SAU(1)
1521	700774007403771	2	U	MDG(2)
1062	700774007413771	3	EAI5	GUF(1) MDG(1) MOZ(1)
702	700775747413771	15	EAI5	CUB(2) GUF(1) MWI(12)
1266	700777740003771	2	CAS	USA(2)
1473	700777746013771	4	MANU1	FXX(1) MWI(3)
1524	700777747403771	3	U	MDG(3)
129	700777747413771	11	EAI5	DEU(1) GUF(2) MDG(1) MOZ(1) MWI(4) ZWE(2)
202	701776777760601	3	X2	USA (3)
1551	701777740003771	3	CAS	AUT(1) SWE(1) USA(1)
1368	701777747770371	2	U	MYS(2)
140	702777740003171	2	CAS1_DELHI	FXX(2)
1092	702777740003771	6	CAS1_DELHI	IND(2) ITA(1) USA (1) ZAF(2)
703	703177400001771	4	KILI	NLD(2) SWE(2)
1765	703337400001771	5	CAS1_KILI	KEN(1) UGA(1) USA(2) ZMB(1)
1675	703367400001771	3	CAS1_KILI	FXX(1) MDG(2)
21	703377400001771	145	CAS1_KILI	AUT(1) BEL(1) COM(3) DNK(2) FIN(2) FXX(6) GBR(9) ITA(1) KEN(17) MDG(37) MOZ(1) MUS(1) MWI(3) NLD(12) SDN(1) SWE(3) TZA(1) USA(18)n ZAF(1) ZMB(22) ZWE(3)
1677	703377400203771	2	U	MDG(2)
1314	703377740003171	3	CAS1_DELHI	IND(3)
873	703400000000000	3	CAS	NLD(1) USA (2)
1327	703637740003771	2	CAS1_DELHI	IND(1) PAK(1)
954	703677740003771	3	CAS1_DELHI	GBR(1) USA (2)
427	703707740003771	6	CAS1_DELHI	DEU(1) IND(1) USA (4)
1198	703737740003171	6	CAS1_DELHI	DEU(1) GBR(1) SAU(1) SDN(3)
1437	703737740003731	2	CAS1_DELHI	BGD(2)
1343	703737740003771	4	CAS1_DELHI	BEL(1) NLD(1) USA(2)
864	703740000000760	9	CAS	IND(1) NLD(1) SUR(1) USA(6)
1405	703743740003771	2	CAS1_DELHI	BGD(2)
794	703757740003771	3	CAS1_DELHI	GBR(1) PAK(1) USA(1)
1120	703760000000331	3	CAS	AUT(1) DEU(1) PAK(1)
309	703767740003171	2	CAS1_DELHI	CAF(2)
141	703767740003771	10	CAS1_DELHI	FXX(3) IND(4) NLD(1) USA (2)
1777	703776000000011	2	CAS1_DELHI	BEL(2)
1882	703776600003771	2	CAS1_DELHI	SAU(1) USA(1)
1422	703777000000771	2	CAS	BGD(2)
1590	703777340003771	2	CAS1_DELHI	DEU(1) PAK(1)
598	703777400000371	3	CAS	IRN(3)
599	703777400000771	5	CAS	AUT(2) BEL(1) IRN(2)
22	703777400001771	24	CAS	BGD(2) EGY(1) FIN(2) FXX(1) GBR(1) IRN(5) NLD(2) SAU(7) ZMB(3)
1357	703777400003031	2	CAS	ITA(2)
600	703777400003171	5	CAS	IRN(5)
485	703777400003771	14	CAS	AUT(1) IRN(7) USA (6)
1344	703777440003771	2	CAS1_DELHI	IND(1) NLD(1)
356	703777600001771	6	CAS	GBR(2) SAU(1) SDN(2) USA (1)
1093	703777600003771	5	CAS	GBR(1) IND(2) SAU(1) USA(1)
1203	703777640003171	2	CAS1_DELHI	AUT(1) LBY(1)
1346	703777640003770	15	CAS1_DELHI	ITA(15)
1345	703777700000371	6	CAS	BGD(1) NLD(1) SWE(1) USA (3)
142	703777700003771	13	CAS	BGD(1) DEU(1) FXX(2) GBR(1) IND(1) NLD(1) SAU(1) SDN(1) SWE(1) USA(3)
1887	703777707770371	4	U	SAU(4)
1264	703777740000000	3	CAS	USA(3)
1789	703777740000171	4	CAS1_DELHI	BEL(1) PAK(1) SAU(1) USA(1)
486	703777740000371	11	CAS	AUT(1) IRN(3) PAK(1) SAU(2) USA (4)
876	703777740000731	5	CAS	IND(2) NLD(2) USA (1)
357	703777740000771	30	CAS	BEL(2) BGD(11) DNK(1) GBR(2) IND(2) IRN(2) NLD(2) SAU(2) SWE(3) USA (3)
1199	703777740001171	3	CAS	SDN(1) USA (2)
23	703777740001471	3	CAS	GBR(3)
203	703777740001771	8	CAS	FXX(1) SAU(1) USA (6)
1787	703777740002171	2	CAS1_DELHI	BEL(1) SDN(1)
1091	703777740002771	6	CAS1_DELHI	IND(2) PAK(1) USA(3)
24	703777740003031	6	CAS1_DELHI	GBR(1) NLD(2) SDN(2) SWE(1)
381	703777740003071	9	CAS1_DELHI	AUT(1) BGD(1) GBR(1) IND(2) NLD(2) PAK(1) USA(1)
704	703777740003111	2	CAS1_DELHI	IRN(1) NLD(1)
1312	703777740003131	2	CAS1_DELHI	IND(1) SWE(1)
25	703777740003171	128	CAS1_DELHI	AUS(2) AUT(1) BEL(1) BGD(4) CAF(1) CZE(2) EGY(2) EST(1) ETH(1) FXX(5) GBR(10) GEO(1) IDN(2) IND(1) IRN(5) ITA(3) LBY(9) MUS(1) NLD(13) PAK(2) SAU(4) SDN(14) SEN(1) SWE(5) USA(35) ZAF(1) ZWE(1)
428	703777740003371	8	CAS1_DELHI	IND(2) PAK(1) USA (5)
247	703777740003471	4	CAS1_DELHI	FXX(1) SAU(1) USA (2)
289	703777740003571	5	CAS1_DELHI	AUS(1) IND(1) NLD(2) USA (1)
1878	703777740003600	2	CAS1_DELHI	USA(2)
1401	703777740003671	4	CAS1_DELHI	BGD(3) GBR(1)
429	703777740003731	9	CAS1_DELHI	GBR(1) IND(1) SDN(1) USA(6)
1883	703777740003760	2	CAS1_DELHI	SAU(2)
26	703777740003771	404	CAS1_DELHI	AUS(9) AUT(9) BEL(4) BGD(54) COM(1) DEU(6) DNK(1) FIN(1) FXX(7) GBR(15) GEO(1) GLP(1) IND(48) IRN(7) ITA(7) KEN(9) MUS(2) MYS(4) NLD(37) NZL(2) PAK(26) PRT(2) SAU(2) SDN(3) SWE(10) USA(135) ZAF(1)
1197	703777740203171	21	U	NOR(21)
588	703777744003771	2	U	FXX(2)
27	703777747770371	11	U(CAS_ANCESTOR?)	AUS(1) DEU(2) GBR(3) KEN(1) PAK(1) SAU(1) USA(2)
1200	703777747777771	3	U	SDN(1) USA (2)
1429	703777750003771	3	U	BGD(3)
1920	703777770001771	15	U	ITA(15)
1560	703777777760771	2	T1	FXX(1) POL(1)
430	704003347760471	9	T4_CEU1	USA (7) VEN(2)
1696	707737607760771	5	LAM5	VEN(5)
1809	707777347740471	2	U	AUT(2)
1258	707777347760471	42	T4_CEU1	CAN(41) DEU(1)
1902	707777774413731	4	EAI4_VNM	VNM(4)
1597	707777777760771	5	T1	IDN(1) RUS(2) USA (2)
363	716377777760771	7	S	AUT(3) EGY(2) FXX(1) ITAS(1)
705	717377777760771	2	T1	NLD(2)
550	717777477413731	2	EAI1_SOM	USA (2)
1706	717777607760771	3	LAM9	CZE(1) USA (1) VEN(1)
1419	717777700003371	3	U	BGD(3)
1725	717777757413771	2	EAI6_BGD1	MYS(2)
1747	717777757760771	2	T5	DEU(1) USA(1)
431	717777774020771	3	H1	USA (3)
1316	717777777413731	2	EAI1_SOM	IND(1) NLD(1)
1121	717777777760611	34	T1	AUT(34)
358	717777777760771	11	T1	BGD(6) FIN(1) GBR(2) ITA(1) MTQ(1)
1650	720001400000771	2	U	MOZ(2)
1653	730000000000171	2	U	IDN(2)
706	730177577760771	2	T1	NLD(2)
432	735777777760731	3	T2	USA (3)
1476	736177607700171	6	U	ARG(2) PER(2) USA(2)
707	736377777760771	4	S	ARG(2) IDN(1) NLD(1)
1877	737377777760771	2	T1	USA(2)
805	737417606060731	2	LAM11_ZWE	ZWE(2)
1693	737737607760771	3	LAM5	FXX(1) VEN(2)
1621	737737777760731	2	T2-T3	ESP(1) USA(1)
708	737776777760771	7	X1	AUT(1) DZA(1) NLD(4) RUS(1)
