sit	octal	total	clade	geography
1076	007777607760771	5	LAM9	IDN(1) MOZ(1) RUS(2) USA (1)
1889	007777707760771	2	T1	BRA(2)
973	016773777777600	2	BOV	FXX(2)
1469	017776607760771	2	X1-LAM9	MWI(2)
1210	017777607760771	4	LAM9	MEX(2) USA(2)
107	036377777760771	4	S	AUS(1) FXX(3)
1880	037603607400011	3	U	USA (3
1885	037637377760771	3	T1	SAU(3)
1588	037637607760771	2	LAM9	DEU(2)
284	037637777760771	35	T1	AUS(1) AUT(10) DEU(4) DNK(1) FIN(1) IRN(1) MEX(1) NLD(2) RUS(1) SAU(4) TUR(8) USA (1)
1786	037647777760771	3	T1	BEL(3)
1904	037676000000371	3	U	AUT(1) ITA(1) VNM(1)
750	037677500020771	18	H3	ARG(3) AUT(8) EAFR(1) USA (6)
359	037677774020771	2	H1	AUT(2)
1278	037677777760771	6	T1	AUT(1) CZE(1) ESP(1) ITA(1) POL(1) USA(1)
1702	037737607760771	3	LAM5	VEN(3)
855	037767777720731	2	H3	CMR(2)
1100	037776777760601	30	X2	USA(30)
1058	037777777760731	2	T2	AUT(1) CMR(1)
272	037777777760771	6	T1	BEL(1) ITAS(2) USA (3)
639	040000000000600	3	MICROTI	GBR(3)
974	046773777764600	13	BOV	FXX(13)
975	046773777767600	16	BOV	FXX(16)
1349	057777777760771	8	T1	ITA(8)
1307	064061777777600	3	BOV	MEX(3)
1305	064063777777600	7	BOV	BRA(3) MEX(4)
1670	064073777777600	16	BOV	ARG(6) BRA(9) MEX(1)
1309	064263777777600	3	BOV	MEX(3)
468	067777777413031	2	EAI5	AUS(1) USA(1)
640	074000007177200	2	PIN	GBR(2)
641	074000030000600	8	MICROTI	GBR(7) USA (1)
642	074000032000600	8	MICROTI	BEL(1) DEU(1) FXX(3) GBR(3)
593	074000037777600	9	PIN	ARG(4) FXX(3) GBR(2)
1543	076160000000071	2	U	ESP(2)
976	076773777777400	5	BOV	FXX(5)
977	076773777777600	5	BOV	?(1) ARG(1) DEU(1) FXX(1) ITA(1)
1441	076777777777600	4	BOV	BEL(4)
1612	077577757003371	3	U	BGD(2) USA(1)
759	077637777760771	2	T1	TUR(2)
375	077737607760771	3	LAM5	VEN(3)
1628	077737777413771	4	EAI5	USA(4)
1415	077743777413731	2	EAI1_SOM	BGD(2)
542	077757607760731	2	LAM4	USA (2)
1734	077767777413731	2	EAI1_SOM	DNK(2)
643	077777377000371	2	U	NLD(2)
1881	077777377413771	3	EAI5	FXX(1) SAU(2)
1468	077777606060671	8	LAM11_ZWE	GBR(1) MWI(7)
816	077777606060771	8	LAM11_ZWE	MDG(1) MWI(5) USA(1) ZWE(1)
1870	077777607760730	2	LAM4	SWE(1) USA(1)
469	077777607760771	21	LAM9	EGY(2) FXX(1) HTI(1) ITA(2) PER(3) THA(1) USA (11)
1546	077777777413011	4	EAI5	NZL(2) USA (2)
338	077777777413071	7	EAI3_IND	BGD(1) GBR(5) MYS(1)
257	077777777413631	9	EAI5	DNK(9)
1399	077777777413700	4	EAI5	BGD(4)
6	077777777413731	39	EAI1_SOM	AUT(3) DNK(13) GBR(5) MYS(1) NLD(7) NZL(2) SWE(4) USA (4)
1090	077777777413771	3	EAI5	IND(2) NLD(1)
307	077777777720731	4	H3	CAF(4)
751	077777777760771	9	T1	BEL(1) FXX(1) MAR(1) NLD(1) SAU(1) SWE(1) TUR(1) USA (2)
408	157756777760771	3	X1	USA (3)
98	170003607760771	4	LAM9?	DEU(1) MNG(3)
1431	174000007413731	2	EAI1_SOM	BGD(2)
1413	177743777413731	2	EAI1_SOM	BGD(2)
1542	177776777760601	2	X2	ESP(1) USA (1)
854	177777403760771	2	T1	CIV(1) CMR(1)
1087	177777603760771	4	T1	GLP(1) HTI(1) USA(2)
1255	177777657760771	2	T5	NLD(1) RUS(1)
1586	177777764020771	12	H1	AUT(1) CZE(1) DEU(9) USA (1)
1389	177777777413731	9	EAI1_SOM	BGD(7) GBR(1) GEO(1)
470	177777777413771	3	EAI5	FXX(1) USA (2)
1613	177777777760731	2	T2	AUT(1) USA(1)
191	177777777760771	10	T1	ARG(1) AUT(1) GEO(1) GLP(1) NLD(1) RUS(2) USA (3)
1810	200001377376600	3	CAP	AUT(3)
1108	200003370000000	4	CAP	AUT(1) DEU(3)
644	200003377207600	27	CAP	DEU(3) ESP(23) FXX(1)
1604	200003377377600	2	CAP	AUT(1) DEU(1)
1109	200003400037600	5	CAP	AUT(5)
645	200003717207600	3	CAP	ESP(2) NLD(1)
818	200003770000000	8	CAP	AUT(1) DEU(4) FXX(2) ITA(1)
1600	200003770003600	3	CAP	DEU(3)
1636	200003774075600	2	CAP	DEU(2)
646	200003777207600	14	CAP	DEU(4) ESP(9) FXX(1)
978	200003777357600	8	CAP	AUT(1) FXX(7)
1635	200003777363600	2	MANU2	DEU(2)
1596	200003777377200	2	CAP	DEU(2)
647	200003777377600	80	CAP	?(1) AUT(8) BEL(1) DEU(50) FXX(12) GBR(1) HND(2) ITA(3) SWE(2)
979	200003777777600	3	CAP	BEL(1) FXX(1) ITA(1)
648	200103717207600	2	CAP	NLD(2)
1598	262773777772600	2	BOVIS1	DEU(2)
1306	264063777777600	2	BOV	GBR(1) MEX(1)
1858	264071777777600	4	BOVIS2	ARG(4)
